mean	マス ケット 銃 を 持つ た 兵士 を たたく のめす こと と 、 人 を 惨殺 する の を 傍観 する の は 別 の こと だ
none	だから 御者 は また 窓 から 外 へ 出る て 、 警官 と 医者 の 助け を 呼ぶ で から 戻る て くる
mean	と 息子 の 方 を 見る ながら 、 あの 密猟 団 を 追っ払う た とき 、 やつ ら は お前 ら 刺し殺す て やる と 吐く 捨てる た
mean	その 一方 、 乾く た 藁 が 爆ぜる ながら 炎 を 上げる て いる
none	悲鳴 は やむ で いる た が 、 夫人 は 気 を 失う て 長椅子 の 上 に のびる て おる 、 もう ひとり の 方 は 片足 を 肘掛 椅子 の 手すり へ だらんと 懸ける 、 頭 を 炉 格子 の 端 近く の 地面 に 転がす た まま 、 血 だ まり の なか 、 あいにく 事切れる て いる た
motive	クー・クラックス・クラン 　 名 は 小銃 の 掛金 を かける 響き に 似通う せる て 作れる 言葉 に 由来 する
mean	プレンダギャスト が 血 だらけ の 刃物 を 手 に する て 近づく て くる の を 見る た 航海 士 は 、 何とか する て 少し ゆるめる て いる た 縄 を 、 蹴る て 取り外す 、 甲板 を 駆け抜ける て 後部 船倉 に 飛び込む だ
none	一八九〇年四月二十七日 、 モーニング・クロニクル紙
mean	今朝 、 部屋 に 入る て 兄弟 が テーブル を 囲む で いる 無惨 だ 光景 を 見る なり 恐怖 に 失神 する た
none	そして その あと で 我が 友人 と 奇妙 だ 事件 の ひとつ でも 一緒 できる の だ 、 これ 以上 は 望み よう も ない
mean	我が 友 ホームズ は 微笑む で 私 の 腕 に 手 を 置く 思う に 、 ワトスン 、 君 が 実に 当然 の ごとし 糾弾 する あの 、 煙草 服毒 法 を 再開 する こと です う ね と 、 言う た
motive	これ は 何 か 悲劇 が 起こる た の だ と 確信 する て 、 御者 は 戸 に 体 当たり する て 押す 破る う と する た の だ が 、 その あいだ も 室内 から ひっきりなし の 悲鳴
none	退路 は ただ 一つ
mean	犯人 は 、 寝室 で 被害 者 を 撲殺 する 、 書類 を 奪う とる 、 遺体 を 木材 置場 まで 運び込む で 、 犯罪 の 痕跡 を すべて を 焼却 する う と する た と の こと だ
mean	魚 の 刺青 が 、 右 手首 の すぐ 上 に 彫る て ある ます
none	投げ込む
none	わたし が 何 も 言う ない と 誓う ます と 、 奥さま は 私 に 接吻 する て 、 以来 お 会う する て おる ます ん
none	さあ 、 かける た ま え
motive	どうも ウィリアム・カーワン は ひそか に 主人 ふたり を あの 夜 つける た よう だ の です
none	到着
none	約束 は 約束 です ので
none	まったく 暇 だ 稼業 だ よ
mean	と 紳士 は 声 を 振り絞る
mean	老人 は 流す れる やすい 人物 だ が 、 息子 は まったく 悪 の 権化 で 、 拳銃 で も ある ば 自分 含める 誰彼 構う ぬ いつ でも 頭 を ぶち 抜く かねる ます ん
none	はっきり と 足 の 肉 球 が 五つ 、 爪 は 長い らしい 、 全体 の 大きい さ は 菓子 用 の 匙 と 大差 ない
none	それでは 、 陛下 の 危惧 を 察す かねる ます
motive	訴える 出る という の を 、 かき集める た お金 を 出す て やる と 勘弁 する て いただく た ほど だ ござる ます
motive	だが 、 金貨 一 枚 の 賭け に する う
mean	俺 も 武器 を 持つ て たん で 、 拳銃 を 取り出す て 、 旦那 を 脅かす て 逃げる う と する ます た
none	何 でも アッパ・スウォンダム 横町 に ある 金 の 延べ 棒 という 場所 で 見つかる はず と の こと だ た
none	いったい どう やる て ?? と 言う かける た ところ で 、 シャーロック・ホームズ は 問う れる より も 早い その 疑問 に 答える た
none	だが わざわざ 杖 の 頭 に 穴 を 開ける 、 中 に 溶かす た 鉄 を 入れる て 、 手強い 武器 に なさる た
motive	僕 の 父 は チェスタフィールド で 学校 長 を する て いる て 、 そこで 僕 も すぐれる た 教育 を 受ける ます た
mean	暗い 、 悲惨 … … そう だ ね
motive	角 の 家 に 行く と 、 三つ の 金メッキ する た 球 と 、 褐色 の 板 に 白 で ジェイベス・ウィルソン と 書く れる た 看板 が ある た
motive	戸口 の 上 で 石油 灯 が ちる ちる と ゆらめく なか 、 扉 の 掛け金 を 見つける 、 中 へ と 足 を 踏み入れる た
motive	だからこそ 給与 に 気前 よい 前金 を つける て 、 中部 へ と 追いやる 、 そこで それなり の 仕事 を 与える て ロンドン へ 行く せる ない よう に する た
none	その 紙 に は 一 面 に 何 か 小 動物 の 足跡 が 写し取る れる て いる た
motive	全 財産 を 金鉱 で 稼ぐ だ
mean	本来 だ 払う の も 難しい ところ だ ん です が 、 本人 が 見習い だ いい から と 他 の 半分 の 給料 で 来る て くれる とる ん です
motive	上着 と ベスト が 床 に 落ちる 、 扉 の 後ろ の 鈎 金 から 、 首 まわり に 吊る 帯 を 巻き付ける 、 仏 ・ 中 英 金物 株式会社 社長 は ぶら下がる て いる た
motive	もう あなた と 同じ 空気 を 吸う なんて まっぴら よ
none	って 言う ます て 、 次に こう 聞く た ん です
motive	アクトン さん の お 宅 に 押し入る た あの 夜 の こと です
none	鍵 が 戸 の 内側 に 挿す って おる ぬ 、 また 部屋 の どこ に も 見あたる ない
none	材質 は 堅い 、 ずいぶん くたびれる て いる た
motive	ともに 働ける と 思う の だ 、 これ は 給与 の 前金 として 懐 に 収める て くれる
none	って
mean	毒殺 について は
mean	こっち に は 拳銃 が ある
mean	その 夜 は 肌 を 刺す よう だ 寒い さ で 、 我々 は アルスター を 着込む 、 首巻き で のど を くるむ だ
none	耐える こと は できる の です 、 留置 、 いや 罰 を 受ける こと だって
mean	妻 は ひどい 心配 する です う から 、 指 環 を 外す て 、 お巡りさん の 見る てる ない 隙 に 、 インド 人 に こっそり 託す て 、 心配 は 要る ない と 妻 宛 に 急ぐ で 書く 殴る た 手紙 も 一緒 に 渡す ます た
none	もう 一 一 時 だ
motive	そこ の 調 馬 師 の サイラス・ブラウン という 男 は 自分 の 方 の 馬 に 大金 を 賭ける て いる という こと です が 、 死ぬ だ ジョン・ストレーカ とも 仲 が よい ない た と も いう ます
motive	ベディントン は なか に 忘れ物 を する た と の 口実 で 進入 する 、 警備 員 を 殺害 後 速やか に 大 金庫 を 荒らす 、 その のち 強奪 品 とともに 逃亡 する た に 相違 ない
mean	部屋 から 出る う と する ば 撃つ と 脅しつける 、 ランプ に 火 を つける て 粉薬 を 載せる 、 窓 の 外 に 立つ て 、 銃 を 構える た
motive	あなた は 、 僕 の 作り事 に 気づく た 初めて の 人 です
mean	俺 たち ガキ ん ちょ めいめい に 拳銃 が 二 丁 ずつ ある
none	でも 、 あの 恐ろしい 男 が そこ に いる た と 証言 する て おる ます し 、 インド 人 が 階段 の 下 に
motive	ジェイムズ・バークリ の やり方 は もう お わかる だ う
motive	それに な 、 人 は 金 が ある て 、 おう よ 、 なおかつ 使い方 と ばらまく 方 を 知る てる あ 何 でも できる
