ふと 私 の 覚え書き を 見る と 、 七 〇 も の 不思議 だ 事件 が ある	ふと私の覚え書きを見ると、七〇もの不思議な事件がある
この 八 年間 、 事件 を通じて 友人 シャーロック・ホームズ の 手際 を 考える て くる た	この八年間、事件を通じて友人シャーロック・ホームズの手際を考えてきた
その 中 に は 多く の 悲劇 と 少し の 喜劇 が ある 、 あと の 大半 は 単に 変わる た だけ の もの だ た が 、 普通 という もの は ひとつ として ない	その中には多くの悲劇と少しの喜劇があり、あとの大半は単に変わっただけのものだったが、普通というものはひとつとしてない
なぜなら 、 どちら か と いう と シャーロック・ホームズ は 好き だ から 仕事 を 受ける の だ ある 、 お金 を 得る ため で は ない	なぜなら、どちらかというとホームズは好きだから仕事を受けるのであり、お金を得るためではない
何 の 変哲 も ない 調査 は 、 かかわる たい ない と 一蹴 する て しまう	何の変哲もない調査は、かかわりたくないと一蹴してしまう
途方 も ない 事件 だ ない て は なる ない	途方もない事件でなくてはならない
その よう だ 様々 の 事件 の なか でも 、 これ ほど に 奇怪 きわまる もの は 他 に ない だ う	そのような様々の事件のなかでも、これほどに奇怪きわまるものは他にないだろう
サリィ州ストーク・モラン に 住む 、 かの 有名 だ グリムズビ・ロイロット 家 の 話 だ ある	サリィ州ストーク・モランに住む、かの有名なロイロット家の話である
くだん の 事件 は 、 シャーロック・ホームズ と 付き合う 始める て 間 も ない 頃 に 起こる 、 まだ 我々 は ベイ カー 街 で 下宿 を 共用 する て いる た	くだんの事件は、ホームズと付き合い始めて間もない頃に起こり、まだ我々はベイカー街で下宿を共用していた
もっと 早い に 公表 する て も よい た の かも しれる ない が 、 当時 は 口外 する ない 約束 を する て おる 、 こうして 私 が 自由 に なる た の は 、 ちょうど 先日 、 約束 を 交わす て いる た ご 婦人 が 、 時 なる ぬ 死 を 迎える た ため だ	もっと早くに公表してもよかったのかもしれないが、当時は口外しない約束をしており、こうして私が自由になったのは、ちょうど先日、約束を交わしていたご婦人が、時ならぬ死を迎えたためだ
私 に できる こと は おそらく 、 すべて の 事実 を 白日 の 下 に さらす こと だ ある	私にできることはおそらく、すべての事実を白日の下にさらすことである
それ に は 理由 が ある	それには理由がある
グリムズビ・ロイロット 博士 の 死 について 風聞 が 広がる て いる こと を 私 は 知る た	グリムズビ・ロイロット博士の死について風聞が広がっていることを私は知った
そして 、 その いずれ も が 真実 を おどろおどろしい ねじ曲げる て いる た から だ ある	そして、そのいずれもが真実をおどろおどろしくねじ曲げていたからである
八三年 の 四月初め 、 ある 朝 、 私 が 目 を 覚ます と 、 シャーロック・ホームズ が 身支度 を 調える 、 枕元 に 立つ て いる た	八三年の四月初め、ある朝、私が目を覚ますと、シャーロック・ホームズが身支度を調え、枕元に立っていた
普段 は 遅い まで 眠る て いる 男 だ のに 、 暖炉 の 上 の 置き時計 に よる ば 、 まだ 七時一五分 を 回る た ばかり	普段は遅くまで眠っている男なのに、暖炉の上の置き時計によれば、まだ七時一五分を回ったばかり
私 は 何ごと か と 目 を ぱちくり する せる ながら シャーロック・ホームズ の 方 を 向く	私は何ごとかと目をぱちくりさせながらホームズの方を向く
おそらく 少々 機嫌 も 悪い た	おそらく少々機嫌も悪かった
私 の 朝 は 、 決まる て こう だ の だ た	私の朝は、決まってこうなのだった
気の毒 だ が 起きる た まえる 、 ワトソン	気の毒だが起きたまえ、ワトソン
シャーロック・ホームズ の 声 だ	ホームズの声だ
今朝 は みな 同じ 具合 だ の だ	今朝はみな同じ具合なのだ
ハドソン さん が 戸 の 音 で たたき起こす れる 、 僕 の ところ へ やってくる	ハドソンさんが戸の音でたたき起こされ、僕のところへやってくる
そして 僕 は 君 の ところ へ	そして僕は君のところへ
何 か ね 、 まさか —— 火事 か	何かね、まさか——火事か
いや 、 依頼 人 だ	いや、依頼人だ
年 の 若い ご 婦人 が 興奮 気味 に 来る れる た らしい 、 僕 に 面会 する たい 、 と	年の若いご婦人が興奮気味に来られたらしく、僕に面会したい、と
居間 で 待つ て もらう て いる	居間で待ってもらっている
どう だ ね 、 若い ご 婦人 が こんな 朝 早い 都会 を ほっつく 歩く て 、 眠り込む で いる 他人 を たたき起こす と なる ば 、 よく よく 差し迫る た 事情 が ある と 考える ぬ ば なる ぬ	どうだね、若いご婦人がこんな朝早く都会をほっつき歩いて、眠り込んでいる他人をたたき起こすとなれば、よくよく差し迫った事情があると考えねばならぬ
万一 これ が 本当に 面白い 事件 だ と する ば 、 君 は きっと 、 はじめ から かかわる たい がる	万一これが本当に面白い事件だとすれば、君はきっと、はじめからかかわりたがる
いずれ に する 、 声 を かける だけ かける て 、 君 に 決める て もらう ぬ ば	いずれにせよ、声をかけるだけかけて、君に決めてもらわねば
心 の 友 よ 、 どんな 事件 も 逃す もの か	心の友よ、どんな事件も逃すものか
私 にとって 、 シャーロック・ホームズ の 調査 に 立ち会う こと ほど 、 深い 楽しみ を 感じる もの は ない た	私にとって、ホームズの調査に立ち会うことほど、深い楽しみを感じるものはなかった
あの 迅速 だ 推理 に 驚く の も よい	あの迅速な推理に驚くのもよい
早い すぎる て 当てずっぽう に も 思える が 、 その 実 いつも 論拠 が ある 、 結果 、 持ち込む れる た 問題 を 解き明かす て しまう	早すぎて当てずっぽうにも思えるが、その実いつも論拠があり、結果、持ち込まれた問題を解き明かしてしまう
私 は 大急ぎ で 服 を つける 、 それ から 二 、 三 分 の のち に は 我が 友 と 一緒 に 居間 へ 入る た	私は大急ぎで服をつけ、それから二、三分ののちには我が友と一緒に居間へ入った
と 、 黒い 服 に 身 を 包む 、 顔 に は 厚い 面 紗 を かける た 一 人 の 夫人 が 、 窓際 の 椅子 から 立ち上がる た	と、黒い服に身を包み、顔には厚い面紗をかけた一人の夫人が、窓際の椅子から立ち上がった
おはよう ござる ます	おはようございます
シャーロック・ホームズ は 朗らか に 挨拶 する た	ホームズは朗らかに挨拶した
僕 が シャーロック・ホームズ です	僕がシャーロック・ホームズです
こちら は 私 の 友人 で 助手 の ワトソン 博士	こちらは私の友人で助手のワトソン博士
僕 同様 に 、 何 を お話 に なる て も 結構 です	僕同様に、何をお話になっても結構です
おる と 、 ハドソン さん が 気 を 利く せる て 暖炉 に 火 を つける て くれる た よう です ね	おっと、ハドソンさんが気を利かせて暖炉に火をつけてくれたようですね
どうぞ 火 の 方 へ	どうぞ火の方へ
熱い コーヒー は いかが です か	熱いコーヒーはいかがですか
ふるえる て いらっしゃる	ふるえていらっしゃる
寒い て ふるえる て いる の だ は ござる ます ん	寒くてふるえているのではございません
と 女性 は 言う れる まま に 椅子 を 寄せる ながら 、 低い 声 で 言う た	と女性は言われるままに椅子を寄せながら、低い声で言った
ほう	ほう
すると	すると
こわい ん です 、 シャーロック・ホームズ さん	こわいんです、ホームズさん
おそろしい て	おそろしくて
と 言う て 、 依頼 人 は 面 紗 を あげる た が 、 なるほど 気の毒 だ ほど に 動揺 する きる て いる た	と言って、依頼人は面紗をあげたが、なるほど気の毒なほどに動揺しきっていた
顔 は やつれる て 血の気 が ない 、 目 は およぐ ばかり だ 、 狙う れる た 獲物 の よう だ	顔はやつれて血の気がなく、目はおよぐばかりで、狙われた獲物のようだ
顔つき や 体つき から 見る ば 、 まだ 三 十 そこそこ の 女性 だ と いう のに 、 頭 に は 早い も 白い もの が まじる 、 憔悴 が 顔 から 見る て とれる	顔つきや体つきから見れば、まだ三十そこそこの女性だというのに、頭には早くも白いものがまじり、憔悴が顔から見てとれる
シャーロック・ホームズ は 、 ひと目 依頼 人 に 目 を 向ける た だけ だ 、 すべて が わかる た よう だ た	シャーロック・ホームズは、ひと目依頼人に目を向けただけで、すべてがわかったようだった
ご 安心 を	ご安心を
シャーロック・ホームズ は やさしい 言葉 を かける て 身 を 乗り出す 、 依頼 人 の 腕 に 手 を 置く た	ホームズはやさしく言葉をかけて身を乗り出し、依頼人の腕に手を置いた
僕ら が すぐ 解決 する て 差し上げる ます 、 ですから	僕らがすぐ解決して差し上げます、ですから
今朝 の 汽車 で お 着く に なる た 、 の です ね	今朝の汽車でお着きになった、のですね
申す ます た かしら	申しましたかしら
いえ 、 ただ 左 の 手袋 の あいだ に 復路 の 切符 が 見える ます た ので	いえ、ただ左の手袋のあいだに復路の切符が見えましたので
朝 早い ご 出立 に なる 、 二 輪 馬車 に お 乗り に なる て 、 ぬかるむ だ 道 を 通る 、 駅 まで いらっしゃる た	朝早くご出立になり、二輪馬車にお乗りになって、ぬかるんだ道を通り、駅までいらっしゃった
依頼 人 は はる として 、 我が 友人 を 不思議 という 目 で 見つめる た	依頼人ははっとして、我が友人を不思議という目で見つめた
不思議 だ こと だ は ある ます ん	不思議なことではありません
と シャーロック・ホームズ は ほほえむ	とホームズはほほえむ
上着 の 左 袖 に 七つ も 泥 の 跳ね が ござる ます	上着の左袖に七つも泥の跳ねがございます
しかも まだ つく た ばかり の	しかもまだついたばかりの
